id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
1,31,services,married,secondary,yes,-455,no,yes,cellular,16,jul,168,2,-1,0,unknown,no
2,48,management,married,secondary,no,141,no,no,cellular,14,aug,208,8,-1,0,unknown,no
3,27,blue-collar,married,secondary,no,821,yes,yes,unknown,16,sep,23,1,778,41,other,no
4,46,management,married,secondary,no,3714,yes,no,unknown,15,may,86,1,-1,0,unknown,no
5,52,blue-collar,single,secondary,no,-477,no,no,cellular,31,jul,37,4,-1,0,unknown,no
6,36,blue-collar,single,primary,#$%^*()@,109,yes,no,telephone,12,may,200,2,370,2,failure,no
7,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
8,34,management,single,tertiary,no,2343,no,no,telephone,21,nov,39,9,-1,0,unknown,no
9,30,management,single,tertiary,no,,yes,no,unknown,28,may,261,6,-1,0,unknown,no
10,23,blue-collar,single,primary,no,382,no,no,unknown,15,jun,74,1,108,1,other,no
11,39,management,divorced,tertiary,no,295,no,no,cellular,28,aug,68,2,-1,0,unknown,no
12,48,blue-collar,married,secondary,no,264,no,jjjjjjjjjjjjjjj,cellular,6,feb,439,2,-1,0,unknown,no
13,33,technician,divorced,secondary,no,557,yes,no,cellular,20,nov,400,1,91,1,failure,no
14,26,blue-collar,single,secondary,no,450,no,yes,cellular,3,feb,542,1,-1,0,unknown,no
15,60,blue-collar,married,secondary,no,322,yes,no,cellular,7,may,63,1,-1,0,unknown,no
16,38,admin.,married,secondary,no,253,yes,no,unknown,9,may,515,4,-1,0,unknown,no
17,34,management,single,tertiary,no,556,yes,no,cellular,20,apr,143,2,-1,0,unknown,no
18,37,admin.,married,secondary,no,147,yes,no,cellular,7,jul,25,30,-1,0,unknown,no
19,35,blue-collar,married,secondary,no,218,yes,no,cellular,24,jul,128,2,-1,0,unknown,no
20,48,self-employed,married,primary,no,3062,no,no,unknown,19,jun,237,5,-1,0,unknown,no
21,52,management,married,tertiary,no,193,no,no,cellular,4,aug,145,1,-1,0,unknown,no
22,38,management,married,tertiary,no,590,no,no,cellular,31,jul,49,2,-1,0,unknown,no
23,29,services,single,secondary,no,-565,yes,no,unknown,4,jun,109,1,-1,0,unknown,no
24,38,technician,divorced,secondary,no,273,yes,no,unknown,20,may,314,2,-1,0,unknown,no
25,34,blue-collar,married,secondary,no,1,yes,no,cellular,9,jul,290,2,-1,0,unknown,no
26,40,services,married,secondary,no,-212,yes,yes,cellular,5,feb,71,1,258,1,failure,no
27,46,management,divorced,tertiary,no,4629,no,no,cellular,1,jun,67,1,41,1,failure,no
28,34,blue-collar,single,secondary,no,0,yes,no,cellular,10,jul,307,1,-1,0,unknown,no
29,27,services,single,secondary,no,482,yes,no,unknown,6,jun,220,2,-1,0,unknown,no
30,57,admin.,married,secondary,no,567,yes,no,cellular,2,feb,87,2,265,3,other,no
31,53,services,married,primary,no,171,yes,yes,cellular,5,may,343,4,167,6,other,no
32,30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,47,admin.,married,tertiary,no,2279,yes,yes,cellular,27,may,161,1,-1,0,unknown,no
34,45,technician,married,tertiary,no,0,no,no,cellular,21,aug,103,2,-1,0,unknown,no
35,49,management,married,tertiary,no,5969,no,no,cellular,30,jul,258,2,-1,0,unknown,no
36,32,blue-collar,married,primary,no,1287,yes,no,cellular,14,apr,297,2,-1,0,unknown,no
37,41,unknown,single,unknown,no,942,no,no,cellular,22,apr,219,1,-1,0,unknown,yes
38,37,technician,divorced,secondary,no,51,no,yes,cellular,28,jan,2150,2,-1,0,unknown,no
39,30,unemployed,married,secondary,yes,19,no,no,cellular,19,nov,186,5,-1,0,unknown,no
40,49,admin.,married,secondary,no,197,yes,no,cellular,13,oct,404,1,68,1,other,no
41,40,housemaid,married,primary,no,229,yes,no,cellular,24,jul,213,10,-1,0,unknown,no
42,35,technician,married,secondary,no,481,yes,yes,telephone,28,jan,141,4,164,1,other,no
43,29,technician,single,secondary,no,362,no,no,cellular,9,feb,826,7,-1,0,unknown,no
44,35,technician,single,secondary,no,23,yes,no,unknown,19,jun,113,2,-1,0,unknown,no
45,32,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,298,1,-1,0,unknown,no
46,45,blue-collar,married,secondary,no,52,yes,no,cellular,9,feb,122,3,-1,0,unknown,no
47,26,admin.,single,tertiary,no,617,no,no,cellular,15,jun,157,1,-1,0,unknown,no
48,43,technician,single,tertiary,no,1017,yes,no,unknown,19,may,257,2,-1,0,unknown,no
49,29,technician,married,tertiary,no,138,yes,yes,cellular,14,jul,113,3,-1,0,unknown,no
50,77,retired,married,primary,no,29340,no,no,cellular,15,mar,257,1,91,2,other,yes
51,57,retired,married,primary,no,4,no,no,cellular,21,jul,50,5,-1,0,unknown,no
52,30,student,single,secondary,no,685,no,no,telephone,10,mar,230,2,-1,0,unknown,no
53,27,technician,single,secondary,no,337,no,no,unknown,9,jul,23,1,-1,0,unknown,yes
54,49,admin.,divorced,secondary,no,1709,yes,no,unknown,12,jun,106,1,-1,0,unknown,no
55,36,admin.,divorced,tertiary,no,125,yes,no,unknown,26,may,172,1,-1,0,unknown,no
56,48,blue-collar,divorced,primary,no,-110,yes,no,cellular,12,may,942,1,-1,0,unknown,no
57,53,services,married,secondary,no,33,yes,no,unknown,19,may,84,12,-1,0,unknown,no
58,57,management,married,tertiary,no,1571,no,no,unknown,11,jun,230,13,-1,0,unknown,no
59,44,services,married,secondary,no,1450,yes,no,cellular,14,apr,356,1,314,2,failure,no
60,31,blue-collar,married,secondary,no,932,yes,no,unknown,21,may,229,2,-1,0,unknown,no
61,22,management,single,tertiary,no,374,yes,no,cellular,13,may,158,5,-1,0,unknown,no
62,43,retired,married,primary,no,471,no,yes,unknown,15,may,114,2,-1,0,unknown,no
63,39,self-employed,married,secondary,no,1317,no,no,unknown,17,jun,42,4,-1,0,unknown,no
64,50,admin.,married,primary,no,458,yes,no,cellular,6,may,116,2,363,1,failure,no
65,32,blue-collar,single,secondary,no,1475,yes,no,cellular,21,nov,209,5,-1,0,unknown,no
66,43,management,married,tertiary,no,2987,no,no,cellular,4,jun,156,1,85,3,failure,yes
67,53,self-employed,divorced,tertiary,no,513,yes,no,cellular,5,may,17,3,-1,0,unknown,no
68,32,blue-collar,married,primary,no,1504,yes,no,cellular,17,apr,131,2,-1,0,unknown,no
69,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
70,31,blue-collar,married,secondary,no,625,yes,no,cellular,14,may,137,3,-1,0,unknown,no
71,24,technician,single,secondary,no,1234,no,no,cellular,27,may,480,2,-1,0,unknown,no
72,46,technician,married,tertiary,no,-582,yes,no,cellular,5,may,245,4,354,9,other,no
73,45,blue-collar,single,secondary,no,0,no,no,cellular,5,aug,374,2,472,1,success,yes
74,52,blue-collar,married,secondary,no,1374,yes,no,cellular,17,apr,267,2,322,1,failure,no
75,32,blue-collar,single,secondary,no,82,yes,no,cellular,28,jul,86,4,-1,0,unknown,no
76,30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
77,52,admin.,divorced,secondary,no,0,yes,no,unknown,26,may,206,1,-1,0,unknown,no
78,42,technician,single,secondary,no,77,no,yes,cellular,7,aug,152,2,-1,0,unknown,no
79,50,technician,married,tertiary,no,199,yes,yes,unknown,26,may,79,1,-1,0,unknown,no
80,33,management,married,tertiary,no,23,yes,yes,cellular,6,feb,150,1,-1,0,unknown,no
81,35,blue-collar,married,primary,no,456,yes,no,unknown,2,jun,71,1,-1,0,unknown,no
82,41,blue-collar,divorced,secondary,no,3622,no,no,unknown,19,jun,1135,4,-1,0,unknown,yes
83,39,unemployed,married,tertiary,no,529,yes,yes,cellular,21,nov,673,1,-1,0,unknown,no
84,34,entrepreneur,married,primary,no,1188,yes,no,cellular,18,jul,1503,11,-1,0,unknown,no
85,42,technician,married,secondary,no,233,no,no,cellular,20,aug,143,4,-1,0,unknown,no
86,27,student,single,secondary,no,16173,yes,no,unknown,28,may,489,1,-1,0,unknown,no
87,36,blue-collar,divorced,secondary,no,-159,yes,no,unknown,4,jun,382,3,-1,0,unknown,no
88,52,management,married,tertiary,no,52,no,yes,cellular,18,aug,124,4,-1,0,unknown,no
89,35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,yes
90,26,blue-collar,single,secondary,no,-132,no,no,unknown,8,may,12,1,-1,0,unknown,no
91,57,retired,married,secondary,no,-37,no,yes,cellular,7,jul,354,1,-1,0,unknown,no
92,39,blue-collar,single,secondary,no,29,yes,no,unknown,7,may,214,2,-1,0,unknown,no
93,53,unemployed,single,secondary,no,4,no,no,cellular,30,jul,259,3,-1,0,unknown,no
94,27,student,single,secondary,no,538,no,no,cellular,4,jun,124,2,-1,0,unknown,yes
95,30,admin.,single,tertiary,no,218,no,no,unknown,4,jul,137,2,-1,0,unknown,no
96,29,management,single,tertiary,no,572,yes,no,telephone,8,nov,319,1,-1,0,unknown,yes
97,38,technician,single,secondary,no,31,yes,no,cellular,11,jul,891,2,-1,0,unknown,no
98,39,blue-collar,married,primary,no,3324,no,no,cellular,9,jul,108,1,-1,0,unknown,no
99,33,services,married,secondary,no,968,yes,no,cellular,14,may,204,5,-1,0,unknown,no
100,43,unemployed,divorced,secondary,no,0,yes,no,cellular,24,jul,229,2,-1,0,unknown,no
101,42,entrepreneur,divorced,secondary,no,3780,yes,no,cellular,19,nov,104,3,-1,0,unknown,no
102,31,blue-collar,single,secondary,no,-366,yes,no,cellular,19,nov,313,1,180,1,other,no
103,51,blue-collar,married,secondary,no,1151,yes,yes,cellular,29,jul,125,2,-1,0,unknown,no
104,38,technician,married,tertiary,no,51,no,no,telephone,27,aug,39,9,-1,0,unknown,no
105,40,entrepreneur,divorced,secondary,no,2998,yes,no,cellular,18,jul,623,3,-1,0,unknown,yes
106,45,admin.,divorced,secondary,no,109,yes,no,unknown,16,may,122,1,-1,0,unknown,no
107,23,blue-collar,married,secondary,no,272,no,no,cellular,14,aug,100,2,-1,0,unknown,yes
108,48,management,divorced,unknown,no,549,yes,no,unknown,6,may,427,1,-1,0,unknown,no
109,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,unknown,yes
110,54,self-employed,divorced,primary,no,4382,yes,no,telephone,18,may,193,4,-1,0,unknown,no
111,45,unemployed,married,secondary,no,1040,no,no,telephone,26,may,137,5,-1,0,unknown,no
112,32,admin.,married,secondary,no,0,yes,yes,unknown,1,jul,122,1,-1,0,unknown,no
113,35,services,married,primary,no,764,no,no,cellular,12,may,706,3,-1,0,unknown,no
114,30,technician,single,tertiary,no,4459,no,no,cellular,11,aug,149,2,-1,0,unknown,no
115,50,services,married,secondary,no,128,no,no,cellular,19,aug,173,1,-1,0,unknown,no
116,69,retired,married,unknown,no,647,no,no,telephone,27,mar,199,1,-1,0,unknown,no
117,41,technician,single,secondary,no,43,no,no,cellular,8,aug,420,2,-1,0,unknown,no
118,33,services,single,secondary,no,3269,no,yes,cellular,18,jul,316,1,-1,0,unknown,no
119,30,services,single,secondary,no,566,no,no,cellular,5,feb,110,1,-1,0,unknown,no
120,30,blue-collar,married,secondary,no,1131,yes,yes,unknown,27,jun,148,5,-1,0,unknown,no
121,30,management,single,tertiary,no,-58,no,yes,cellular,19,aug,15,18,-1,0,unknown,no
122,30,services,single,secondary,no,438,yes,no,cellular,21,nov,98,1,-1,0,unknown,no
123,28,management,single,tertiary,no,1335,no,yes,unknown,4,nov,15,1,-1,0,unknown,no
124,35,management,married,tertiary,no,193,yes,no,cellular,17,apr,402,1,-1,0,unknown,no
125,38,admin.,single,secondary,no,3049,yes,yes,cellular,11,may,225,1,347,1,failure,no
126,49,management,married,tertiary,no,78,yes,no,cellular,8,apr,65,3,-1,0,unknown,no
127,35,blue-collar,married,primary,no,0,no,yes,cellular,2,feb,154,2,-1,0,unknown,no
128,32,technician,single,tertiary,no,849,yes,no,cellular,28,jul,289,5,-1,0,unknown,no
129,33,technician,single,secondary,no,151,yes,no,cellular,27,aug,86,6,-1,0,unknown,no
130,44,management,married,tertiary,no,0,no,no,cellular,20,aug,122,2,-1,0,unknown,no
131,33,entrepreneur,married,primary,no,82,yes,no,cellular,18,nov,63,2,-1,0,unknown,no
132,54,blue-collar,married,primary,no,532,no,no,telephone,31,jul,73,2,-1,0,unknown,no
133,33,technician,single,tertiary,no,99,no,no,cellular,22,aug,296,2,-1,0,unknown,no
134,58,self-employed,married,secondary,no,28318,yes,no,cellular,14,may,168,2,-1,0,unknown,no
135,37,management,married,tertiary,no,-113,yes,no,unknown,29,may,219,3,-1,0,unknown,no
136,58,retired,single,primary,no,6570,no,no,cellular,21,jul,106,3,-1,0,unknown,no
137,31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,yes
138,36,self-employed,married,tertiary,no,254,yes,no,telephone,17,jul,202,5,-1,0,unknown,no
139,44,blue-collar,married,primary,no,213,no,no,unknown,6,may,158,1,-1,0,unknown,no
140,35,technician,single,secondary,no,-89,yes,no,cellular,15,may,75,1,368,1,failure,no
141,43,management,married,tertiary,no,1800,no,no,telephone,29,jul,103,3,-1,0,unknown,no
142,47,blue-collar,married,primary,no,209,no,no,cellular,27,aug,77,6,-1,0,unknown,no
143,27,admin.,married,secondary,no,73,yes,no,cellular,5,feb,140,1,-1,0,unknown,no
144,22,services,single,secondary,no,361,no,no,telephone,1,sep,232,1,86,6,failure,no
145,44,management,married,tertiary,no,1791,no,no,cellular,11,feb,71,1,190,1,success,yes
146,35,services,married,secondary,no,-12,no,no,cellular,31,jul,83,4,-1,0,unknown,no
147,27,services,single,secondary,no,955,no,no,cellular,23,apr,206,1,-1,0,unknown,yes
148,58,management,married,tertiary,no,5942,no,no,cellular,12,aug,64,2,-1,0,unknown,no
149,34,management,single,tertiary,no,-322,no,no,unknown,9,may,198,1,-1,0,unknown,no
150,27,blue-collar,single,secondary,no,539,yes,no,cellular,9,feb,268,5,252,2,failure,no
151,23,services,single,secondary,no,279,yes,no,cellular,18,may,843,1,370,1,failure,yes
152,27,management,single,tertiary,no,118,yes,no,unknown,9,may,132,3,-1,0,unknown,no
153,36,blue-collar,married,secondary,no,462,no,no,cellular,31,jul,474,2,-1,0,unknown,no
154,30,admin.,married,secondary,no,1589,yes,no,cellular,18,nov,51,4,-1,0,unknown,no
155,52,technician,married,secondary,no,1490,no,yes,unknown,17,jun,420,4,-1,0,unknown,no
156,46,entrepreneur,married,secondary,no,212,yes,no,cellular,5,may,332,1,-1,0,unknown,no
157,28,student,single,tertiary,no,471,yes,no,cellular,6,may,209,1,-1,0,unknown,no
158,45,management,married,tertiary,no,904,yes,yes,unknown,20,jun,14,9,-1,0,unknown,no
159,36,management,single,tertiary,no,72,yes,yes,cellular,21,nov,10,7,-1,0,unknown,no
160,59,management,married,tertiary,no,1978,yes,no,cellular,20,aug,928,1,-1,0,unknown,no
161,55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
162,27,technician,single,secondary,no,357,yes,no,unknown,29,may,382,3,-1,0,unknown,no
163,54,blue-collar,married,unknown,no,6251,yes,no,unknown,29,may,421,3,-1,0,unknown,no
164,33,admin.,divorced,secondary,no,420,yes,no,telephone,6,feb,112,2,-1,0,unknown,no
165,27,blue-collar,single,unknown,no,-15,yes,yes,cellular,15,may,212,4,312,6,other,no
166,38,entrepreneur,married,primary,no,-21,yes,no,cellular,11,jul,50,2,-1,0,unknown,no
167,43,management,divorced,tertiary,no,36,no,no,cellular,4,aug,79,1,-1,0,unknown,no
168,32,blue-collar,married,secondary,yes,-238,yes,no,unknown,27,may,427,1,-1,0,unknown,no
169,48,admin.,divorced,secondary,no,362,no,no,cellular,13,aug,529,1,-1,0,unknown,yes
170,35,technician,single,secondary,no,196,yes,no,cellular,21,nov,318,1,-1,0,unknown,no
171,28,admin.,single,tertiary,no,1773,yes,no,cellular,23,jul,275,1,-1,0,unknown,no
172,38,services,divorced,secondary,no,76,yes,no,cellular,17,apr,395,2,-1,0,unknown,no
173,36,blue-collar,married,primary,no,44,no,no,unknown,20,jun,11,2,-1,0,unknown,no
174,39,blue-collar,married,secondary,no,8,no,no,cellular,30,jul,88,3,-1,0,unknown,no
175,33,self-employed,single,tertiary,no,1354,yes,no,cellular,16,apr,270,1,147,2,failure,no
176,25,student,single,secondary,no,41,yes,no,telephone,4,may,101,2,-1,0,unknown,no
177,31,management,married,tertiary,no,1750,yes,no,telephone,14,may,90,3,-1,0,unknown,no
178,59,blue-collar,divorced,primary,no,220,yes,no,unknown,12,may,165,1,-1,0,unknown,no
179,52,management,married,secondary,no,4096,yes,no,unknown,4,jun,208,4,-1,0,unknown,no
180,24,student,single,secondary,no,125,no,no,cellular,9,nov,263,1,90,1,failure,yes
181,34,services,single,secondary,no,84,yes,no,unknown,23,may,299,1,-1,0,unknown,no
182,33,blue-collar,married,primary,no,1416,yes,no,cellular,20,nov,60,1,-1,0,unknown,no
183,34,admin.,married,secondary,no,45,yes,no,cellular,18,nov,79,1,-1,0,unknown,no
184,49,blue-collar,married,primary,no,1,no,yes,cellular,5,feb,98,1,210,1,other,no
